experiment,cor,pp,bp,dp,iteration_increase
campylobacter_jejuni_batch1_merged,0.5,0.3,2.0,0.13333333333333333,0.18333333333333332
campylobacter_jejuni_batch2_merged,0.9,0.2333333333333333,1.6666666666666667,0.10000000000000002,0.3499999999999999
campylobacter_jejuni_batch3_merged,0.9,0.20000000000000004,3.0,0.10000000000000002,0.2833333333333333
campylobacter_jejuni_batch4_merged,0.9,0.20000000000000004,3.0,0.10000000000000002,0.3499999999999999
campylobacter_jejuni_batch5_merged,0.9,0.20000000000000004,3.0,0.10000000000000002,0.31666666666666665
campylobacter_jejuni_batch6_merged,0.9,0.20000000000000004,3.0,0.10000000000000002,0.11666666666666665
campylobacter_jejuni_batch7_merged,0.9,0.20000000000000004,3.3333333333333335,0.10000000000000002,0.05000000000000001
campylobacter_jejuni_batch8_merged,0.9,0.20000000000000004,3.6666666666666665,0.10000000000000002,0.05000000000000001
campylobacter_jejuni_batch9_merged,0.9,0.20000000000000004,3.3333333333333335,0.10000000000000002,0.05000000000000001
campylobacter_jejuni_batch10_merged,0.9,0.20000000000000004,4.0,0.10000000000000002,0.05000000000000001
ecoli_batch2_merged,0.9,0.20000000000000004,3.3333333333333335,0.10000000000000002,0.15
ecoli_batch3_merged,0.9,0.3,1.6666666666666667,0.10000000000000002,0.3499999999999999
ecoli_batch4_merged,0.9,0.20000000000000004,2.0,0.10000000000000002,0.05000000000000001
ecoli_batch5_merged,0.9,0.20000000000000004,2.3333333333333335,0.10000000000000002,0.05000000000000001
ecoli_batch6_merged,0.9,0.20000000000000004,3.6666666666666665,0.10000000000000002,0.05000000000000001
ecoli_batch7_merged,0.9,0.20000000000000004,3.0,0.10000000000000002,0.05000000000000001
ecoli_batch8_merged,0.9,0.20000000000000004,3.0,0.10000000000000002,0.05000000000000001
ecoli_batch9_merged,0.9,0.20000000000000004,2.0,0.10000000000000002,0.05000000000000001
ecoli_batch10_merged,0.3,0.20000000000000004,2.3333333333333335,0.10000000000000002,0.05000000000000001
salmonella_enterica_batch1_merged,0.9,0.2333333333333333,3.3333333333333335,0.10000000000000002,0.15
salmonella_enterica_batch2_merged,0.6999999999999998,0.20000000000000004,2.6666666666666665,0.10000000000000002,0.08333333333333333
salmonella_enterica_batch3_merged,0.7666666666666666,0.3,2.6666666666666665,0.10000000000000002,0.08333333333333333
salmonella_enterica_batch4_merged,0.7000000000000001,0.20000000000000004,3.3333333333333335,0.10000000000000002,0.15
salmonella_enterica_batch5_merged,0.7000000000000001,0.2333333333333333,4.0,0.10000000000000002,0.11666666666666665
salmonella_enterica_batch6_merged,0.5,0.4000000000000001,3.3333333333333335,0.10000000000000002,0.08333333333333333
salmonella_enterica_batch7_merged,0.6333333333333333,0.3333333333333333,3.0,0.10000000000000002,0.21666666666666667
salmonella_enterica_batch8_merged,0.5666666666666667,0.2333333333333333,3.0,0.10000000000000002,0.05000000000000001
salmonella_enterica_batch9_merged,0.5,0.26666666666666666,3.6666666666666665,0.10000000000000002,0.18333333333333335
salmonella_enterica_batch10_merged,0.4333333333333333,0.20000000000000004,4.0,0.10000000000000002,0.25
staph_aureus_batch2_merged,0.9,0.3666666666666667,3.6666666666666665,0.16666666666666666,0.21666666666666667
staph_aureus_batch3_merged,0.6999999999999998,0.2333333333333333,3.3333333333333335,0.10000000000000002,0.11666666666666665
staph_aureus_batch4_merged,0.3,0.20000000000000004,3.6666666666666665,0.10000000000000002,0.08333333333333333
staph_aureus_batch5_merged,0.5,0.3666666666666667,3.0,0.13333333333333333,0.05000000000000001
staph_aureus_batch6_merged,0.6333333333333333,0.3666666666666667,3.0,0.26666666666666666,0.11666666666666665
staph_aureus_batch7_merged,0.5666666666666667,0.3,3.0,0.4000000000000001,0.18333333333333335
staph_aureus_batch8_merged,0.3,0.3,2.6666666666666665,0.3333333333333333,0.18333333333333335
staph_aureus_batch9_merged,0.3,0.4000000000000001,4.0,0.10000000000000002,0.08333333333333333
staph_aureus_batch10_merged,0.3,0.4666666666666666,4.0,0.10000000000000002,0.05000000000000001
ecoli_batch1_merged,0.9,0.2,1.0,0.1,0.25
