Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR27755678, 98%, SRR27136088, 1%, SRR28399428, 1%
2, SRR27136088, 96%, SRR28399428, 2%, SRR27755678, 2%
3, SRR27755678, 94%, SRR27136088, 3%, SRR28399428, 3%
4, SRR27136088, 4%, SRR28399428, 92%, SRR27755678, 4%
5, SRR27755678, 5%, SRR28399428, 90%, SRR27136088, 5%
6, SRR28399428, 6%, SRR27755678, 88%, SRR27136088, 6%
7, SRR27755678, 7%, SRR27136088, 86%, SRR28399428, 7%
8, SRR27755678, 84%, SRR28399428, 8%, SRR27136088, 8%
9, SRR28399428, 82%, SRR27755678, 9%, SRR27136088, 9%
10, SRR27136088, 80%, SRR28399428, 10%, SRR27755678, 10%
